category,car_name,image_url,2025-09-23
Treasure Hunts,'58 Impala Treasure Hunts Art Cars 1:64 HCX98 Black,https://retromagaz.com/uploads/products/79/c7/site_1g9khn51t_51e080ed.webp,399.0
MainLine,LB-Works Lamborghini Huracan Coupe Exotics 1:64 HCT97 White,https://retromagaz.com/uploads/products/95/32/site_f3mqum2c6_5aa56476.webp,399.0
MainLine,Honda Civic Custom J-Imports 1:64 HCT11 Blue,https://retromagaz.com/uploads/products/93/bc/site_f3158lvar_7dc11811.webp,249.0
MainLine,Nissan Skyline H/T 2000GT-X J-Imports 1:64 HCV11 Green,https://retromagaz.com/uploads/products/1a/97/site_f5lgk89vq_3c8766f6.webp,229.0
MainLine,Honda S2000 J-Imports 1:64 HCX25 Red,https://retromagaz.com/uploads/products/33/f6/site_fdhjcohu4_19ffb98a.webp,349.0
MainLine,Raijin Express Art Cars 1:64 HCX59 Gold,https://retromagaz.com/uploads/products/63/bd/site_f316cfkep_93c55c58.webp,429.0
MainLine,'98 Honda Prelude J-Imports 1:64 GTB05 Yellow,https://retromagaz.com/uploads/products/1a/cb/site_f4i2jp7r0_245a2972.webp,399.0
MainLine,'99 Honda Civic Type R (EK9) J-Imports 1:64 GRX62 White,https://retromagaz.com/uploads/products/0f/34/site_f4i29gjfq_9bc802cc.webp,399.0
MainLine,'17 Nissan GT-R (R35) Then and Now 1:64 GTC70 Grey,https://retromagaz.com/uploads/products/07/bd/site_f59i165a5_b7cf78bf.webp,399.0
Treasure Hunts,DC Batman The Dark Knight Batmobile Treasure Hunts Batman 1:64 HCX94 Dark Blue,https://retromagaz.com/uploads/products/6d/9f/site_f50jrcpsm_8db1c034.webp,449.0
MainLine,'98 Subaru Impreza 22B STi-Version J-Imports 1:64 GTB01 Dark Blue,https://retromagaz.com/uploads/products/02/a9/site_f4m8sogrg_6b8fb8b7.webp,399.0
MainLine,'98 Subaru Impreza 22B STi-Version J-Imports 1:64 GTC74 Grey,https://retromagaz.com/uploads/products/d1/96/site_f4m8j48ir_28affdfc.webp,399.0
MainLine,'98 Honda Prelude J-Imports 1:64 GTC08 Red,https://retromagaz.com/uploads/products/f6/87/site_f4i2qkf5p_91fc7087.webp,399.0
MainLine,Nissan 300ZX Twin Turbo Turbo 1:64 GRY55 Blue,https://retromagaz.com/uploads/products/c2/2e/site_f5crljl8o_b2ffbe82.webp,249.0
MainLine,Skyline GT-R (BNR34) Nissan 1:64 FYC52 Green,https://retromagaz.com/uploads/products/d3/45/site_f5c1jnldu_c9ba187e.webp,749.0
MainLine,'19 Mercedes-Benz A-Class Forza Horizon 1:64 GRP35 Black,https://retromagaz.com/uploads/products/be/f5/site_f420vt6of_09f15a22.webp,399.0
Premium,1995 Honda Integra Type R Red Line Club RLC 1:64 HMY22 White,https://retromagaz.com/uploads/products/b0/eb/site_fldb78kf4_45c437ba.webp,2499.0
